date,year,district,year_month,unemployment_gap,unemployment_rate,dissent,direction,dissent_easier
1977-04-19,1977.0,4,1977-04,-1.038703703703704,5.85,0.0,None,0
1977-04-19,1977.0,5,1977-04,-0.1220370370370371,6.766666666666667,0.0,None,0
1977-04-19,1977.0,6,1977-04,0.5512962962962966,7.44,0.0,None,0
1977-04-19,1977.0,7,1977-04,-1.008703703703704,5.88,0.0,None,0
1977-04-19,1977.0,8,1977-04,-0.5387037037037041,6.35,0.0,None,0
1977-04-19,1977.0,9,1977-04,-1.938703703703704,4.95,0.0,None,0
1977-04-19,1977.0,10,1977-04,-1.7387037037037034,5.15,0.0,None,0
1977-04-19,1977.0,11,1977-04,-0.7887037037037041,6.1,0.0,None,0
1977-04-19,1977.0,12,1977-04,1.0557407407407409,7.944444444444445,0.0,None,0
1977-05-17,1977.0,1,1977-05,0.8222222222222211,7.583333333333333,0.0,None,0
1977-05-17,1977.0,2,1977-05,2.5388888888888888,9.3,0.0,None,0
1977-05-17,1977.0,3,1977-05,1.872222222222221,8.633333333333333,0.0,None,0
1977-05-17,1977.0,4,1977-05,-1.1111111111111116,5.65,0.0,None,0
1977-05-17,1977.0,5,1977-05,-0.0777777777777783,6.683333333333334,0.0,None,0
1977-05-17,1977.0,6,1977-05,0.5788888888888888,7.340000000000001,0.0,None,0
1977-05-17,1977.0,7,1977-05,-0.9011111111111124,5.859999999999999,0.0,None,0
1977-05-17,1977.0,8,1977-05,-0.4611111111111121,6.3,0.0,None,0
1977-05-17,1977.0,9,1977-05,-1.861111111111112,4.9,0.0,None,0
1977-05-17,1977.0,10,1977-05,-1.7277777777777787,5.033333333333333,0.0,None,0
1977-05-17,1977.0,11,1977-05,-0.7111111111111112,6.050000000000001,0.0,None,0
1977-05-17,1977.0,12,1977-05,1.0388888888888888,7.800000000000001,0.0,None,0
1977-06-21,1977.0,1,1977-06,0.7486574074074062,7.399999999999999,0.0,None,0
1977-06-21,1977.0,2,1977-06,2.4486574074074072,9.1,0.0,None,0
1977-06-21,1977.0,3,1977-06,1.748657407407408,8.4,0.0,None,0
