date,speaker,district,unemployment_discussion_score,unemployment_rate,num_turns
2008-08-05,FISHER,Dallas,0.32114761443722206,5.4601829811451115,2860
2008-08-05,GEITHNER,New York,0.26802256566717336,5.4601829811451115,1560
2008-08-05,HOENIG,Kansas City,0.340811692432854,5.4601829811451115,520
2008-08-05,LACKER,Richmond,0.23690927591507432,5.4601829811451115,2600
2008-08-05,LOCKHART,Atlanta,0.2516576792138136,5.4601829811451115,1560
2008-08-05,PIANALTO,Cleveland,0.3251300031343579,5.4601829811451115,520
2008-08-05,PLOSSER,Philadelphia,0.2618823553224993,5.4601829811451115,2600
2008-08-05,ROSENGREN,Boston,0.3634443346680805,5.4601829811451115,780
2008-08-05,STERN,Minneapolis,0.3179870339233034,5.4601829811451115,780
2008-08-05,YELLEN,San Francisco,0.38707740021226167,5.4601829811451115,780
2008-09-16,BULLARD,St. Louis,0.358873456021341,7.418447660096024,284
2008-09-16,DUDLEY,New York,0.20583020057715426,7.418447660096024,7952
2008-09-16,EVANS,Chicago,0.20123341753548354,7.418447660096024,1136
2008-09-16,FISHER,Dallas,0.2338374005621634,7.418447660096024,1988
2008-09-16,HOENIG,Kansas City,0.27847942418653965,7.418447660096024,852
2008-09-16,LACKER,Richmond,0.18392343585147955,7.418447660096024,6816
2008-09-16,LOCKHART,Atlanta,0.3798222981531783,7.418447660096024,426
2008-09-16,PIANALTO,Cleveland,0.34714715960610526,7.418447660096024,284
2008-09-16,PLOSSER,Philadelphia,0.1912546052841449,7.418447660096024,3124
2008-09-16,ROSENGREN,Boston,0.3209671473423855,7.418447660096024,852
2008-09-16,STERN,Minneapolis,0.21612239970456792,7.418447660096024,1704
2008-09-16,YELLEN,San Francisco,0.3777298378476736,7.418447660096024,426
2008-10-29,BULLARD,St. Louis,0.24800662299348958,6.440333592693028,2140
2008-10-29,DUDLEY,New York,0.22490575351677677,6.440333592693028,4280
2008-10-29,EVANS,Chicago,0.2587135032366406,6.440333592693028,2140
2008-10-29,FISHER,Dallas,0.20503431523757273,6.440333592693028,7276
2008-10-29,GEITHNER,New York,0.16469355829572155,6.440333592693028,7704
2008-10-29,HOENIG,Kansas City,0.2314456048412058,6.440333592693028,1712
2008-10-29,LACKER,Richmond,0.23732581060234506,6.440333592693028,11128
2008-10-29,LOCKHART,Atlanta,0.23022707796607864,6.440333592693028,3852
2008-10-29,PIANALTO,Cleveland,0.2946711603937651,6.440333592693028,1284
2008-10-29,PLOSSER,Philadelphia,0.22620583135215913,6.440333592693028,8560
2008-10-29,ROSENGREN,Boston,0.29815333573501895,6.440333592693028,2996
2008-10-29,STERN,Minneapolis,0.2849743137277921,6.440333592693028,2568
2008-10-29,YELLEN,San Francisco,0.374824789616471,6.440333592693028,1284
2008-12-16,BULLARD,St. Louis,0.23322500590438275,5.064232352849805,12032
2008-12-16,DUDLEY,New York,0.21882099227874238,5.064232352849805,51136
2008-12-16,EVANS,Chicago,0.2626903792396426,5.064232352849805,3760
2008-12-16,FISHER,Dallas,0.22051156901660515,5.064232352849805,24816
2008-12-16,HOENIG,Kansas City,0.20975365741734633,5.064232352849805,12032
2008-12-16,LACKER,Richmond,0.18362324216650117,5.064232352849805,60912
2008-12-16,LOCKHART,Atlanta,0.2229618889432252,5.064232352849805,6768
2008-12-16,PIANALTO,Cleveland,0.29002302805379476,5.064232352849805,2256
2008-12-16,PLOSSER,Philadelphia,0.21668516974900323,5.064232352849805,11280
2008-12-16,ROSENGREN,Boston,0.2815309899936158,5.064232352849805,5264
2008-12-16,STERN,Minneapolis,0.29030450076860087,5.064232352849805,3384
2008-12-16,YELLEN,San Francisco,0.313806395200817,5.064232352849805,3384
2009-01-28,BULLARD,St. Louis,0.23800297127903794,5.101441868756287,15666
2009-01-28,DUDLEY,New York,0.21432169849035748,5.101441868756287,20142
2009-01-28,EVANS,Chicago,0.20638068020371883,5.101441868756287,16412
2009-01-28,FISHER,Dallas,0.19148883269109623,5.101441868756287,14174
2009-01-28,HOENIG,Kansas City,0.2689931989902803,5.101441868756287,5968
2009-01-28,LACKER,Richmond,0.19869336457491074,5.101441868756287,41776
2009-01-28,LOCKHART,Atlanta,0.2018463366889506,5.101441868756287,11190
2009-01-28,PIANALTO,Cleveland,0.3124852824774633,5.101441868756287,2984
2009-01-28,PLOSSER,Philadelphia,0.19890528922367198,5.101441868756287,22380
2009-01-28,ROSENGREN,Boston,0.2296126572283868,5.101441868756287,9698
2009-01-28,STERN,Minneapolis,0.25509957560557617,5.101441868756287,8952
2009-01-28,YELLEN,San Francisco,0.3026919800946132,5.101441868756287,5595
2009-03-18,BULLARD,St. Louis,0.18755061735520429,10.280744980099088,17600
