,Voter_transcript,date,Attendance_transcript,Attendees,Male,Female,Percent Male Att,Percent Female Att,ATT NOT VOTERS,Female Voters,Male Voters,Female NON Voters,Male NON Voters,Number of Voters,percent_fem_voter,percent_male_voter,Number of NonVoters,percent_female_NONvoters,percent_male_NONvoters
124,/Users/ds3228/OneDrive - Yale University/Desktop/FRB/fomc_transcript/data/processed/Voters\20090812_voters.csv,20090812,/Users/ds3228/OneDrive - Yale University/Desktop/FRB/fomc_transcript/data/processed/Attendees\20090812_att.csv,65,51,14,0.7846153846153846,0.2153846153846154,55,2,8,0,0,10,0.2,0.8,0,,
125,/Users/ds3228/OneDrive - Yale University/Desktop/FRB/fomc_transcript/data/processed/Voters\20090923_voters.csv,20090923,/Users/ds3228/OneDrive - Yale University/Desktop/FRB/fomc_transcript/data/processed/Attendees\20090923_att.csv,59,47,12,0.7966101694915254,0.2033898305084746,49,2,8,0,0,10,0.2,0.8,0,,
126,/Users/ds3228/OneDrive - Yale University/Desktop/FRB/fomc_transcript/data/processed/Voters\20091104_voters.csv,20091104,/Users/ds3228/OneDrive - Yale University/Desktop/FRB/fomc_transcript/data/processed/Attendees\20091104_att.csv,60,46,14,0.7666666666666667,0.2333333333333333,50,2,8,0,0,10,0.2,0.8,0,,
127,/Users/ds3228/OneDrive - Yale University/Desktop/FRB/fomc_transcript/data/processed/Voters\20091216_voters.csv,20091216,/Users/ds3228/OneDrive - Yale University/Desktop/FRB/fomc_transcript/data/processed/Attendees\20091216_att.csv,66,55,11,0.8333333333333334,0.1666666666666666,56,2,8,0,0,10,0.2,0.8,0,,
128,/Users/ds3228/OneDrive - Yale University/Desktop/FRB/fomc_transcript/data/processed/Voters\20100127_voters.csv,20100127,/Users/ds3228/OneDrive - Yale University/Desktop/FRB/fomc_transcript/data/processed/Attendees\20100127_att.csv,71,56,15,0.7887323943661971,0.2112676056338028,61,2,8,0,0,10,0.2,0.8,0,,
129,/Users/ds3228/OneDrive - Yale University/Desktop/FRB/fomc_transcript/data/processed/Voters\20100316_voters.csv,20100316,/Users/ds3228/OneDrive - Yale University/Desktop/FRB/fomc_transcript/data/processed/Attendees\20100316_att.csv,60,48,12,0.8,0.2,50,2,8,0,0,10,0.2,0.8,0,,
130,/Users/ds3228/OneDrive - Yale University/Desktop/FRB/fomc_transcript/data/processed/Voters\20100428_voters.csv,20100428,/Users/ds3228/OneDrive - Yale University/Desktop/FRB/fomc_transcript/data/processed/Attendees\20100428_att.csv,67,53,14,0.7910447761194029,0.208955223880597,57,2,8,0,0,10,0.2,0.8,0,,
131,/Users/ds3228/OneDrive - Yale University/Desktop/FRB/fomc_transcript/data/processed/Voters\20100623_voters.csv,20100623,/Users/ds3228/OneDrive - Yale University/Desktop/FRB/fomc_transcript/data/processed/Attendees\20100623_att.csv,72,58,14,0.8055555555555556,0.1944444444444444,62,2,8,0,0,10,0.2,0.8,0,,
132,/Users/ds3228/OneDrive - Yale University/Desktop/FRB/fomc_transcript/data/processed/Voters\20100810_voters.csv,20100810,/Users/ds3228/OneDrive - Yale University/Desktop/FRB/fomc_transcript/data/processed/Attendees\20100810_att.csv,64,50,14,0.78125,0.21875,54,2,8,0,0,10,0.2,0.8,0,,
133,/Users/ds3228/OneDrive - Yale University/Desktop/FRB/fomc_transcript/data/processed/Voters\20100921_voters.csv,20100921,/Users/ds3228/OneDrive - Yale University/Desktop/FRB/fomc_transcript/data/processed/Attendees\20100921_att.csv,60,49,11,0.8166666666666667,0.1833333333333333,51,2,7,0,0,9,0.2222222222222222,0.7777777777777778,0,,
134,/Users/ds3228/OneDrive - Yale University/Desktop/FRB/fomc_transcript/data/processed/Voters\20101103_voters.csv,20101103,/Users/ds3228/OneDrive - Yale University/Desktop/FRB/fomc_transcript/data/processed/Attendees\20101103_att.csv,64,52,12,0.8125,0.1875,54,3,7,0,0,10,0.3,0.7,0,,
135,/Users/ds3228/OneDrive - Yale University/Desktop/FRB/fomc_transcript/data/processed/Voters\20101214_voters.csv,20101214,/Users/ds3228/OneDrive - Yale University/Desktop/FRB/fomc_transcript/data/processed/Attendees\20101214_att.csv,60,49,11,0.8166666666666667,0.1833333333333333,49,4,7,0,0,11,0.36363636363636365,0.6363636363636364,0,,
136,/Users/ds3228/OneDrive - Yale University/Desktop/FRB/fomc_transcript/data/processed/Voters\20110126_voters.csv,20110126,/Users/ds3228/OneDrive - Yale University/Desktop/FRB/fomc_transcript/data/processed/Attendees\20110126_att.csv,69,54,15,0.782608695652174,0.217391304347826,58,3,8,0,0,11,0.2727272727272727,0.7272727272727273,0,,
137,/Users/ds3228/OneDrive - Yale University/Desktop/FRB/fomc_transcript/data/processed/Voters\20110315_voters.csv,20110315,/Users/ds3228/OneDrive - Yale University/Desktop/FRB/fomc_transcript/data/processed/Attendees\20110315_att.csv,61,50,11,0.819672131147541,0.180327868852459,51,3,7,0,0,10,0.3,0.7,0,,
138,/Users/ds3228/OneDrive - Yale University/Desktop/FRB/fomc_transcript/data/processed/Voters\20110427_voters.csv,20110427,/Users/ds3228/OneDrive - Yale University/Desktop/FRB/fomc_transcript/data/processed/Attendees\20110427_att.csv,64,52,12,0.8125,0.1875,54,3,7,0,0,10,0.3,0.7,0,,
139,/Users/ds3228/OneDrive - Yale University/Desktop/FRB/fomc_transcript/data/processed/Voters\20110622_voters.csv,20110622,/Users/ds3228/OneDrive - Yale University/Desktop/FRB/fomc_transcript/data/processed/Attendees\20110622_att.csv,70,55,15,0.7857142857142857,0.2142857142857142,60,3,7,0,0,10,0.3,0.7,0,,
140,/Users/ds3228/OneDrive - Yale University/Desktop/FRB/fomc_transcript/data/processed/Voters\20110809_voters.csv,20110809,/Users/ds3228/OneDrive - Yale University/Desktop/FRB/fomc_transcript/data/processed/Attendees\20110809_att.csv,62,50,12,0.8064516129032258,0.1935483870967742,52,3,7,0,0,10,0.3,0.7,0,,
141,/Users/ds3228/OneDrive - Yale University/Desktop/FRB/fomc_transcript/data/processed/Voters\20110921_voters.csv,20110921,/Users/ds3228/OneDrive - Yale University/Desktop/FRB/fomc_transcript/data/processed/Attendees\20110921_att.csv,63,47,15,0.746031746031746,0.238095238095238,53,3,7,0,1,10,0.3,0.7,1,0.0,1.0
142,/Users/ds3228/OneDrive - Yale University/Desktop/FRB/fomc_transcript/data/processed/Voters\20111102_voters.csv,20111102,/Users/ds3228/OneDrive - Yale University/Desktop/FRB/fomc_transcript/data/processed/Attendees\20111102_att.csv,66,50,16,0.7575757575757576,0.2424242424242424,56,3,7,0,0,10,0.3,0.7,0,,
143,/Users/ds3228/OneDrive - Yale University/Desktop/FRB/fomc_transcript/data/processed/Voters\20111213_voters.csv,20111213,/Users/ds3228/OneDrive - Yale University/Desktop/FRB/fomc_transcript/data/processed/Attendees\20111213_att.csv,62,47,15,0.7580645161290323,0.2419354838709677,52,3,7,0,0,10,0.3,0.7,0,,
144,/Users/ds3228/OneDrive - Yale University/Desktop/FRB/fomc_transcript/data/processed/Voters\20120125_voters.csv,20120125,/Users/ds3228/OneDrive - Yale University/Desktop/FRB/fomc_transcript/data/processed/Attendees\20120125_att.csv,71,54,16,0.7605633802816901,0.2253521126760563,61,3,6,0,0,9,0.3333333333333333,0.6666666666666666,0,,
145,/Users/ds3228/OneDrive - Yale University/Desktop/FRB/fomc_transcript/data/processed/Voters\20120313_voters.csv,20120313,/Users/ds3228/OneDrive - Yale University/Desktop/FRB/fomc_transcript/data/processed/Attendees\20120313_att.csv,60,47,13,0.7833333333333333,0.2166666666666666,50,3,6,0,0,9,0.3333333333333333,0.6666666666666666,0,,
146,/Users/ds3228/OneDrive - Yale University/Desktop/FRB/fomc_transcript/data/processed/Voters\20120425_voters.csv,20120425,/Users/ds3228/OneDrive - Yale University/Desktop/FRB/fomc_transcript/data/processed/Attendees\20120425_att.csv,62,46,16,0.7419354838709677,0.2580645161290322,52,3,6,0,0,9,0.3333333333333333,0.6666666666666666,0,,
147,/Users/ds3228/OneDrive - Yale University/Desktop/FRB/fomc_transcript/data/processed/Voters\20120620_voters.csv,20120620,/Users/ds3228/OneDrive - Yale University/Desktop/FRB/fomc_transcript/data/processed/Attendees\20120620_att.csv,69,52,17,0.7536231884057971,0.2463768115942029,57,3,8,0,0,11,0.2727272727272727,0.7272727272727273,0,,
148,/Users/ds3228/OneDrive - Yale University/Desktop/FRB/fomc_transcript/data/processed/Voters\20120801_voters.csv,20120801,/Users/ds3228/OneDrive - Yale University/Desktop/FRB/fomc_transcript/data/processed/Attendees\20120801_att.csv,64,49,15,0.765625,0.234375,52,3,8,0,0,11,0.2727272727272727,0.7272727272727273,0,,
149,/Users/ds3228/OneDrive - Yale University/Desktop/FRB/fomc_transcript/data/processed/Voters\20120913_voters.csv,20120913,/Users/ds3228/OneDrive - Yale University/Desktop/FRB/fomc_transcript/data/processed/Attendees\20120913_att.csv,68,51,17,0.75,0.25,56,3,8,0,0,11,0.2727272727272727,0.7272727272727273,0,,
150,/Users/ds3228/OneDrive - Yale University/Desktop/FRB/fomc_transcript/data/processed/Voters\20121024_voters.csv,20121024,/Users/ds3228/OneDrive - Yale University/Desktop/FRB/fomc_transcript/data/processed/Attendees\20121024_att.csv,63,48,15,0.7619047619047619,0.238095238095238,51,3,8,0,0,11,0.2727272727272727,0.7272727272727273,0,,
151,/Users/ds3228/OneDrive - Yale University/Desktop/FRB/fomc_transcript/data/processed/Voters\20121212_voters.csv,20121212,/Users/ds3228/OneDrive - Yale University/Desktop/FRB/fomc_transcript/data/processed/Attendees\20121212_att.csv,66,45,21,0.6818181818181818,0.3181818181818182,54,3,8,0,0,11,0.2727272727272727,0.7272727272727273,0,,
