date,year,month,quarter,speaker,position,short_name,greeting,briefer_dummy,bucket_1,bucket_2,bucket_3,bucket_4,total,bucket1_perc,bucket2_perc,bucket3_perc,bucket4_perc,speak_count,speak_length,avg_next_speaker_length,avg_next_speaker_gender,laughter_sum,first_to_introduce_topic,sum_interrupted,sum_interrupter,sum_hedge,avg_day_sentiment,avg_sentiment_per_speaker,dissenter_dummy,total_yes_vote,total_no_vote,total_vote,perc_disset_vote,Attendees,Male,Female,Percent.Male.Att,Percent.Female.Att,ATT.NOT.VOTERS,Female.Voters,Male.Voters,Female.NON.Voters,Male.NON.Voters,Number.of.Voters,percent_fem_voter,percent_male_voter,Number.of.NonVoters,percent_female_NONvoters,percent_male_NONvoters,Total.Voters,voter_dummy,fin_crisis,econ_crisis,target_upper,target_lower,target_mid,chair,b1_dummy,b2_dummy,b3_dummy,b4_dummy,fem_dummy,pol_dummy,epu,mpu,shawdow_i_rate
12/14/2010,2010,12,4,ms yellen,governor,yellen,Ms,0,17,11,8,24,60,0.283333333,0.183333333,0.133333333,0.4,4,8265,133,1,0,0,0,0,13,0.0679951,0.009200774,0,10,1,11,0.090909091,60,49,11,0.816666667,0.183333333,49,4,7,0,0,11,0.363636364,0.636363636,0,NA,NA,11,1,0,0,0.25,0,0.125,bernanke,1,0,0,0,1,0,137.5047147,77.00285044,-0.884818633
12/14/2010,2010,12,4,mr tarullo,governor,tarullo,Mr,0,17,11,8,24,60,0.283333333,0.183333333,0.133333333,0.4,3,6006,198.6666667,1,0,1,0,0,12,0.0679951,0.094076406,0,10,1,11,0.090909091,60,49,11,0.816666667,0.183333333,49,4,7,0,0,11,0.363636364,0.636363636,0,NA,NA,11,1,0,0,0.25,0,0.125,bernanke,1,0,0,0,0,0,137.5047147,77.00285044,-0.884818633
12/14/2010,2010,12,4,mr fisher,president,fisher,Mr,0,17,11,8,24,60,0.283333333,0.183333333,0.133333333,0.4,15,11232,415.4666667,1,2,4,1,1,10,0.0679951,0.102413201,NA,10,1,11,0.090909091,60,49,11,0.816666667,0.183333333,49,4,7,0,0,11,0.363636364,0.636363636,0,NA,NA,11,0,0,0,0.25,0,0.125,bernanke,1,0,0,0,0,1,137.5047147,77.00285044,-0.884818633
12/14/2010,2010,12,4,mr lacker,president,lacker,Mr,0,17,11,8,24,60,0.283333333,0.183333333,0.133333333,0.4,8,10482,334.125,1,0,1,0,1,15,0.0679951,0.001021984,NA,10,1,11,0.090909091,60,49,11,0.816666667,0.183333333,49,4,7,0,0,11,0.363636364,0.636363636,0,NA,NA,11,0,0,0,0.25,0,0.125,bernanke,1,0,0,0,0,1,137.5047147,77.00285044,-0.884818633
12/14/2010,2010,12,4,mr hoenig,president,hoenig,Mr,0,17,11,8,24,60,0.283333333,0.183333333,0.133333333,0.4,2,6984,30.5,1,0,0,0,0,5,0.0679951,0.078342427,1,10,1,11,0.090909091,60,49,11,0.816666667,0.183333333,49,4,7,0,0,11,0.363636364,0.636363636,0,NA,NA,11,1,0,0,0.25,0,0.125,bernanke,1,0,0,0,0,1,137.5047147,77.00285044,-0.884818633
12/14/2010,2010,12,4,mr warsh,governor,warsh,Mr,0,17,11,8,24,60,0.283333333,0.183333333,0.133333333,0.4,2,5189,23,1,0,0,0,0,10,0.0679951,0.052653463,0,10,1,11,0.090909091,60,49,11,0.816666667,0.183333333,49,4,7,0,0,11,0.363636364,0.636363636,0,NA,NA,11,1,0,0,0.25,0,0.125,bernanke,1,0,0,0,0,1,137.5047147,77.00285044,-0.884818633
12/14/2010,2010,12,4,mr plosser,president,plosser,Mr,0,17,11,8,24,60,0.283333333,0.183333333,0.133333333,0.4,3,12273,127.6666667,1,0,0,0,0,19,0.0679951,0.262566896,NA,10,1,11,0.090909091,60,49,11,0.816666667,0.183333333,49,4,7,0,0,11,0.363636364,0.636363636,0,NA,NA,11,0,0,0,0.25,0,0.125,bernanke,1,0,0,0,0,0,137.5047147,77.00285044,-0.884818633
12/14/2010,2010,12,4,ms pianalto,president,pianalto,Ms,0,17,11,8,24,60,0.283333333,0.183333333,0.133333333,0.4,2,4888,31.5,1,0,1,0,0,7,0.0679951,0.059259451,0,10,1,11,0.090909091,60,49,11,0.816666667,0.183333333,49,4,7,0,0,11,0.363636364,0.636363636,0,NA,NA,11,1,0,0,0.25,0,0.125,bernanke,1,0,0,0,1,1,137.5047147,77.00285044,-0.884818633
12/14/2010,2010,12,4,ms duke,governor,duke,Ms,0,17,11,8,24,60,0.283333333,0.183333333,0.133333333,0.4,2,9014,26,1,0,0,0,0,14,0.0679951,0.059701493,0,10,1,11,0.090909091,60,49,11,0.816666667,0.183333333,49,4,7,0,0,11,0.363636364,0.636363636,0,NA,NA,11,1,0,0,0.25,0,0.125,bernanke,1,0,0,0,1,1,137.5047147,77.00285044,-0.884818633
12/14/2010,2010,12,4,mr stockton,economist,stockton,Mr,0,17,11,8,24,60,0.283333333,0.183333333,0.133333333,0.4,2,14071,4424,1,3,0,0,0,11,0.0679951,0.089887359,NA,10,1,11,0.090909091,60,49,11,0.816666667,0.183333333,49,4,7,0,0,11,0.363636364,0.636363636,0,NA,NA,11,0,0,0,0.25,0,0.125,bernanke,0,0,0,1,0,NA,137.5047147,77.00285044,-0.884818633
