,speaker,date,speak_count,speaker_unique
341,MR BERNARDC,19950523,1,BERNARDC
342,MR BERNARD,19950706,6,BERNARD
343,CHAIRMAN GREENSPAN,19950706,131,GREENSPAN
344,MR BLINDER,19950706,18,BLINDER
345,MR FISHER,19950706,15,FISHER
346,MR LINDSEY,19950706,19,LINDSEY
347,MR JORDAN,19950706,21,JORDAN
348,MR TRUMAN,19950706,12,TRUMAN
349,MR KOHN,19950706,28,KOHN
350,MS MINEHAN,19950706,10,MINEHAN
351,VICE CHAIRMAN MCDONOUGH,19950706,10,MCDONOUGH
352,MR MELZER,19950706,7,MELZER
353,MR MCDONOUGH,19950706,3,MCDONOUGH
354,MR MOSKOW,19950706,9,MOSKOW
355,MR BROADDUS,19950706,7,BROADDUS
356,MR SIMPSON,19950706,6,SIMPSON
357,MS JOHNSON,19950706,3,JOHNSON
358,MR PARRY,19950706,10,PARRY
359,MR PRELL,19950706,13,PRELL
360,MR BOEHNE,19950706,3,BOEHNE
361,MR FORRESTAL,19950706,3,FORRESTAL
362,MR HOENIG,19950706,3,HOENIG
363,MR MCTEER,19950706,5,MCTEER
364,CHAIRMAN GREENSP,19950706,1,GREENSP
365,MR STERN,19950706,5,STERN
366,MR KELLEY,19950706,3,KELLEY
367,MS PHILLIPS,19950706,3,PHILLIPS
368,MS YELLEN,19950706,9,YELLEN
369,MR MOSKOW,19950706,1,MOSCOW
370,GDPCHAIRMAN GREENSPAN,19950706,1,GREENSPAN
371,MR BERNARDC,19950706,3,BERNARDC
372,CHAIRMAN GREENSPAN,19950706,1,GREENSPAN
373,CHAIRMAN GREENSPANY,19950706,1,GREENSPANY
374,MR LINDSEY MS MINEHAN MR LINDSEY MS MINEHANI,19950706,1,MINEHANI
375,MR COYNE,19950706,1,COYNE
376,CHAIRMAN GREENSPAN,19950822,70,GREENSPAN
377,MR BOEHNE,19950822,3,BOEHNE
378,MR BROADDUS,19950822,4,BROADDUS
379,MS MINEHAN,19950822,15,MINEHAN
380,MR LINDSEY,19950822,8,LINDSEY
381,VICE CHAIRMAN MCDONOUGH,19950822,6,MCDONOUGH
382,MR FISHER,19950822,6,FISHER
383,MR SIEGMAN,19950822,4,SIEGMAN
384,IMR KELLEY,19950822,1,KELLEY
385,MR KELLEY,19950822,3,KELLEY
386,MR STOCKTON,19950822,14,STOCKTON
387,MR KOHN,19950822,20,KOHN
388,MR FORRESTAL,19950822,4,FORRESTAL
389,MR PARRY,19950822,9,PARRY
390,MR STERN,19950822,4,STERN
391,MR SLIFMAN,19950822,4,SLIFMAN
392,MR BLINDER,19950822,11,BLINDER
393,MR MOSKOW,19950822,5,MOSKOW
394,MR HOENIG,19950822,3,HOENIG
395,MR MCTEER,19950822,1,MCTEER
396,MR MELZER,19950822,7,MELZER
397,MR JORDAN,19950822,3,JORDAN
398,MS PHILLIPS,19950822,2,PHILLIPS
399,MS YELLEN,19950822,2,YELLEN
400,MR BERNARD,19950822,2,BERNARD
401,ICHAIRMAN GREENSPAN,19950822,1,GREENSPAN
402,MR BERNARDC,19950822,1,BERNARDC
403,CHAIRMAN GREENSPAN,19950926,99,GREENSPAN
404,MS MINEHAN,19950926,13,MINEHAN
405,MR FISHER,19950926,16,FISHER
406,MR LINDSEY,19950926,10,LINDSEY
407,MR TRUMAN,19950926,6,TRUMAN
408,MS PHILLIPS,19950926,10,PHILLIPS
409,MR KOHN,19950926,7,KOHN
410,MR JORDAN,19950926,6,JORDAN
411,MR PRELL,19950926,15,PRELL
412,MR PARRY,19950926,7,PARRY
413,MR STOCKTON,19950926,2,STOCKTON
414,MR STERN,19950926,6,STERN
415,VICE CHAIRMAN MCDONOUGH,19950926,16,MCDONOUGH
416,MR BLINDER,19950926,13,BLINDER
417,MS YELLEN,19950926,5,YELLEN
